,SMA,RSI,LABEL
0,1,0.0,1
1,1,0.0,1
2,1,1.0,1
3,1,1.0,1
4,1,1.0,1
5,1,1.0,1
6,1,1.0,1
7,1,0.0,1
8,1,1.0,1
9,1,0.0,1
10,1,1.0,1
11,0,0.5,1
12,0,0.5,1
13,0,0.5,1
14,0,1.0,1
15,0,1.0,1
16,0,1.0,1
17,0,1.0,1
18,0,1.0,1
19,0,1.0,1
20,0,1.0,1
21,0,1.0,1
22,1,1.0,1
23,1,1.0,1
24,1,1.0,1
25,1,1.0,1
26,1,1.0,1
27,1,1.0,1
28,1,1.0,1
29,1,1.0,1
30,1,1.0,1
31,1,1.0,1
32,1,1.0,1
33,1,1.0,1
34,1,1.0,1
35,1,1.0,1
36,1,1.0,1
37,1,1.0,1
38,1,1.0,1
39,1,1.0,1
40,1,1.0,1
41,1,1.0,1
42,1,1.0,1
43,1,1.0,1
44,1,1.0,0
45,1,1.0,0
46,1,1.0,0
47,1,1.0,0
48,1,1.0,0
49,1,1.0,0
50,1,1.0,0
51,1,1.0,0
52,1,1.0,0
53,1,1.0,0
54,1,1.0,0
55,1,1.0,0
56,1,1.0,0
57,1,1.0,0
58,1,1.0,0
59,1,1.0,0
60,1,1.0,0
61,1,1.0,0
62,1,1.0,0
63,1,1.0,0
64,1,1.0,0
65,1,1.0,0
66,1,1.0,0
67,1,1.0,0
68,1,1.0,1
69,1,1.0,0
70,1,1.0,0
71,1,1.0,1
72,1,1.0,0
73,1,0.0,1
74,1,0.0,1
75,1,0.0,1
76,1,0.0,1
77,1,0.0,1
78,1,0.0,1
79,1,0.0,1
80,0,0.0,1
81,0,0.0,1
82,0,0.5,1
83,0,0.5,1
84,0,0.5,1
85,0,0.5,1
86,0,0.5,1
87,0,1.0,1
88,0,1.0,1
89,0,1.0,1
90,0,1.0,1
91,0,1.0,1
92,0,1.0,1
93,0,1.0,1
94,0,1.0,1
95,0,0.0,1
96,0,1.0,1
97,0,1.0,1
98,0,1.0,1
99,0,1.0,1
100,1,1.0,1
101,1,1.0,1
102,1,1.0,1
103,1,1.0,1
104,1,1.0,1
105,1,1.0,1
106,1,1.0,1
107,1,1.0,1
108,1,1.0,1
109,1,1.0,1
110,1,1.0,1
111,1,1.0,1
112,1,1.0,1
113,1,1.0,1
114,1,1.0,1
115,1,1.0,1
116,1,1.0,1
117,1,1.0,1
118,1,1.0,1
119,1,1.0,1
120,1,1.0,1
121,1,1.0,1
122,1,1.0,0
123,1,1.0,0
124,1,1.0,1
125,1,1.0,1
126,1,1.0,1
127,1,1.0,1
128,1,1.0,1
129,1,1.0,1
130,1,1.0,1
131,1,1.0,1
132,1,1.0,1
133,1,1.0,1
134,1,1.0,0
135,1,1.0,0
136,1,1.0,0
137,1,1.0,1
138,1,1.0,0
139,1,1.0,0
140,1,1.0,1
141,1,1.0,1
142,1,1.0,1
143,1,1.0,1
144,1,1.0,1
145,1,1.0,1
146,1,1.0,1
147,1,1.0,1
148,1,1.0,1
149,1,1.0,1
150,1,1.0,1
151,1,1.0,1
152,1,0.0,1
153,1,0.5,1
154,1,0.5,1
155,1,0.5,1
156,1,1.0,1
157,1,1.0,1
158,1,1.0,1
159,1,0.5,1
160,1,0.5,1
161,1,1.0,1
162,1,1.0,1
163,1,1.0,1
164,1,0.0,1
165,1,1.0,1
166,0,1.0,1
167,0,1.0,1
168,0,1.0,1
169,1,1.0,1
170,1,1.0,1
171,1,1.0,1
172,1,1.0,1
173,1,1.0,1
174,1,1.0,1
175,1,1.0,1
176,1,1.0,1
177,1,1.0,1
178,1,1.0,1
179,1,1.0,1
180,1,1.0,1
181,1,1.0,1
182,1,1.0,1
183,1,1.0,1
184,1,1.0,0
185,1,1.0,0
186,1,1.0,0
187,1,1.0,0
188,1,1.0,0
189,1,1.0,0
190,1,1.0,0
191,1,1.0,0
192,1,1.0,0
193,1,1.0,0
194,1,1.0,0
195,1,1.0,0
196,1,1.0,0
197,1,1.0,0
198,1,1.0,0
199,1,1.0,0
200,1,1.0,1
201,1,1.0,0
202,1,1.0,1
203,1,1.0,1
204,1,1.0,1
205,1,1.0,1
206,1,1.0,0
207,1,1.0,1
208,1,1.0,1
209,1,1.0,1
210,1,1.0,1
211,1,1.0,1
212,1,1.0,1
213,1,0.0,1
214,1,0.0,1
215,1,0.0,1
216,1,0.0,1
217,1,0.0,1
218,1,0.0,1
219,1,0.0,1
220,1,0.0,1
221,1,0.0,1
222,1,0.0,1
223,1,0.0,1
224,0,0.0,1
225,0,0.0,1
226,0,0.0,1
227,0,0.0,1
228,0,1.0,1
229,0,1.0,1
230,0,1.0,1
231,0,1.0,1
232,0,1.0,1
233,0,1.0,1
234,0,1.0,1
235,0,1.0,1
236,1,1.0,1
237,1,1.0,1
238,1,1.0,1
239,1,1.0,1
240,1,1.0,1
241,1,1.0,1
242,1,1.0,1
243,1,1.0,1
244,1,1.0,1
245,1,1.0,1
246,1,1.0,1
247,1,1.0,1
248,1,1.0,1
249,1,1.0,1
250,1,1.0,1
251,1,1.0,1
252,1,1.0,1
253,1,1.0,1
254,1,1.0,1
255,1,1.0,1
256,1,1.0,1
257,1,1.0,1
258,1,1.0,1
259,1,1.0,1
260,1,1.0,1
261,1,1.0,1
262,1,1.0,1
263,1,1.0,1
264,1,1.0,1
265,1,1.0,1
266,1,1.0,1
267,1,1.0,1
268,1,1.0,1
269,1,1.0,1
270,1,1.0,1
271,1,1.0,1
272,1,1.0,1
273,1,1.0,1
274,1,1.0,1
275,1,1.0,1
